J,b0,bi,k,dlt,p,d,tau
0.00793903815380336,4.09e-07,2.33e-07,0.249,0.775,14500,0.03,7
0.00428064852114549,2.0209e-07,1.2719e-07,0.41184,1.52453,41085.62299,0.03901,6
0.00419432522604743,1.99752061276585e-07,1.26501460948236e-07,0.3302223559133,1.51467931472543,40734.0973852246,0.0391364748542743,6.0109373700514
0.00428064852114549,2.0273e-07,1.2499e-07,1.81286,1.57038,42987.62471,0.03935,7
0.0044889139313183,2.02618928594188e-07,1.25061007728325e-07,1.78367369119156,1.57248685426554,42996.6433090745,0.0393830796168224,7.00605683518937
