beta0,beta_infty,k,dlt,p,d,tau
3.08026167752565e-07,1.74231104687454e-07,4.7565033580801,1.09685001689909,24852.2562573082,0.0344612840041704,7
4.14957251741722e-07,8.37541440622744e-10,0.0175284171994279,0.385853598503879,10132.2995912962,0.0122312367856172,24
1.58786835787869e-07,3.52333829796005e-10,0.0126398304198092,1.09089468299835,39270.7835768034,0.036134044876176,10
2.8553978964674e-05,8.64521940364783e-06,4.46136152802981e-12,0.2655434832345,140.229869819726,0.020659837171323,12
3.44498548640807e-07,2.13950792995724e-07,0.720649169946466,1.34654313060201,23535.6707091848,0.0353131742407156,5
2.05400848521983e-08,8.40355263071172e-08,0.000171525870107589,1.03750376520242,282484.251356083,0.00204915834666414,22
