beta0,beta_infty,k,dlt,p,d,tau
2.02105955593243e-07,1.2713112337175e-07,0.409096860604387,1.52640413739831,41096.9785936848,0.0390159815683778,6
3.25451192842863e-07,1.03800484416115e-07,0.0489076693490743,0.764852030657112,16761.4628757914,0.0433039119220547,6
1.45477591749117e-07,3.33990254922482e-13,0.0123403312268081,1.1495704087198,43839.9560534511,0.0371421874739099,10
1.42365794643071e-06,1.2038404970574e-06,2.95679990434181,4.67984060240276,10126.7985539038,0.0639122584173731,13
3.02926449533855e-07,2.03242635994217e-07,0.481904394090668,1.39988604857948,25229.8079379523,0.0357053372502928,6
2.71874288089326e-08,1.46819976551268e-07,0.0932431641725715,5.23424096558097,585114.332960976,6.06582083063332e-15,21
